"";"";"";"";"carciofo";""
"29";"riso";"1.02877368928829";"1.47061704877089";"1.16137747419418";"175"
"30";"amichevole";"0.14678330722784";"0.810048419172784";"1.16137747419418";"176"
"31";"certo";"-0.203836017837502";"-0.315654897997313";"1.16137747419418";"177"
"32";"coppia";"1.21020863245347";"0.356588426521939";"1.16137747419418";"178"
"33";"dimensione";"-0.160506264501932";"-0.34236664971865";"1.14591798878293";"184"
"34";"messicano";"0.34979235726037";"1.54856430078577";"1.14049276564171";"187"
"35";"coccio";"1.50355649224673";"0.102453832666616";"1.14049276564171";"188"
"36";"fame";"1.50355649224673";"0.102453832666616";"1.14049276564171";"194"
"37";"accompagnamento";"0.34979235726037";"1.54856430078577";"1.14049276564171";"195"
"38";"patata";"0.779653174443292";"-0.721872495116275";"1.13660388887677";"206"
"39";"abbondante";"0.356455105040598";"-0.829569222064194";"1.13381926106977";"207"
"40";"livello";"1.0884376644231";"1.17316427108692";"1.12599349671562";"211"
"41";"soluzione";"0.9213716978863";"1.78963936937576";"1.11427885559653";"218"
"42";"compagno";"0.9213716978863";"1.78963936937576";"1.11427885559653";"219"
"43";"scomodo";"0.9213716978863";"1.78963936937576";"1.11427885559653";"222"
"44";"raramente";"1.9510420082375";"1.6739497149796";"1.11427885559653";"224"
"45";"ambiente";"0.952020763818484";"-0.232712161158094";"1.11226240097767";"229"
"46";"particolare";"1.31099627479597";"0.515157167042213";"1.11149422778954";"230"
"47";"bottiglia";"0.726502531071042";"-1.00241020298362";"1.1107260546014";"231"
"48";"minuto";"0.436405204977431";"-0.662911510535564";"1.1107260546014";"232"
"49";"interessante";"1.15048985429581";"0.0425054799502372";"1.10722126443053";"234"
"50";"passo";"-0.30747624610103";"-1.0502329147432";"1.10722126443053";"235"
"51";"leggermente";"1.0575447584661";"-0.284298233043683";"1.10722126443053";"236"
"52";"famoso";"0.718986341293245";"-0.0438174391480953";"1.10722126443053";"237"
"53";"soddisfacente";"1.65754528118984";"-1.23685863219585";"1.10722126443053";"238"
"54";"minimo";"0.776985827656509";"1.14548764815403";"1.0975230779303";"239"
"55";"impeccabile";"0.597256991444187";"0.515106456017336";"1.09502651506885";"241"
"56";"peccato";"0.0715011868145716";"-1.23272881692223";"1.09377823363813";"242"
"57";"notturno";"-0.485193727666322";"-1.06600365373871";"1.06982083233311";"248"
"58";"apertura";"-0.26832183739699";"-0.303461656752893";"1.06982083233311";"252"
"59";"diverso";"0.28656922408953";"-0.440399053060393";"1.06742029112018";"253"
"60";"forte";"-0.772017724973419";"-1.75815557886164";"1.05925845099622";"260"
"61";"gambero";"1.74070667548332";"-1.12184755193243";"1.05925845099622";"261"
"62";"morbido";"-0.0168865772189229";"-1.60709047043956";"1.05925845099622";"262"
"63";"genere";"0.848436524020849";"-2.69167332152892";"1.05925845099622";"265"
"64";"delusione";"1.74070667548332";"-1.12184755193243";"1.05925845099622";"267"
"65";"competente";"1.70837647806946";"-0.00235212302216361";"1.05925845099622";"268"
"66";"alimento";"0.816106326606995";"-1.57217789261865";"1.05925845099622";"269"
"67";"guanciale";"0.73475355236632";"-1.76347554374871";"1.05925845099622";"270"
"68";"tipicamente";"-0.0203775953881763";"-1.9145406521708";"1.05925845099622";"272"
"69";"passabile";"1.6877638748913";"-0.071969955534202";"1.05925845099622";"274"
"70";"caratteristico";"0.73475355236632";"-1.76347554374871";"1.05925845099622";"275"
"71";"bucatino";"1.56774645619224";"-1.72856296592781";"1.05925845099622";"276"
"72";"medio";"0.466233761418318";"0.136975859795922";"1.05825022368679";"277"
"73";"eccezionale";"-0.236957952784153";"-0.807153978159465";"1.05652183401349";"278"
"74";"affettato";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"282"
"75";"supermercato";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"283"
"76";"variante";"-0.704016182503608";"0.055765513485568";"1.05080854592672";"287"
"77";"amore";"-0.717757917955715";"0.00935362514420889";"1.05080854592672";"293"
"78";"abbordabile";"-2.87836358328141";"1.25404394870059";"1.05080854592672";"294"
"79";"ideale";"-1.0010041651259";"-0.0660032444355834";"1.04754380987714";"295"
"80";"bruschetta";"1.24789059039438";"1.03877057295344";"1.04658359339196";"297"
"81";"complesso";"1.17930920828063";"0.0921459955856667";"1.04658359339196";"298"
"82";"carne";"0.512655385658053";"0.65912778033362";"1.04634353927067";"299"
"83";"compleanno";"0.0337723168435086";"-0.491687516262838";"1.04000611046854";"300"
"84";"possibile";"0.799915412510392";"-0.917774580423899";"1.04000611046854";"302"
"85";"menù";"1.23563424632926";"0.175860024646919";"1.03702943936451";"303"
"86";"dolce";"-0.24967248749474";"-0.248510032297715";"1.03155620539904";"305"
"87";"personalmente";"-1.72914297057493";"-0.0103056757684206";"1.02622700390634";"307"
"88";"assurdo";"0.893097902565152";"0.570008368261437";"1.02156995395326";"311"
"89";"esperienza";"0.920380141076436";"0.406088993261237";"1.01643279575759";"315"
"90";"locale";"0.137415756229894";"0.199129148936892";"1.01451236278725";"316"
"91";"grande";"-0.428737901003948";"0.457146133059373";"1.01364816795059";"317"
"92";"rapporto";"0.249574231268776";"-1.00127785248925";"1.01355214630208";"318"
"93";"impressione";"0.670093157538611";"0.475515314071822";"1.01244789734413";"320"
"94";"ricetta";"0.77346982760406";"-0.487491379964406";"1.01244789734413";"321"
"95";"presentazione";"1.65543367747745";"1.04752547337607";"1.01244789734413";"322"
"96";"cattivo";"-0.0850379902158856";"0.324450205649739";"1.01244789734413";"323"
"97";"agio";"-0.102159575224793";"0.56228255486894";"1.01244789734413";"324"
"98";"struttura";"0.77346982760406";"-0.487491379964406";"1.01244789734413";"325"
"99";"soldo";"1.65543367747745";"1.04752547337607";"1.01244789734413";"326"
"100";"lontano";"0.00121709484065678";"-0.400724139167287";"1.01244789734413";"327"
"101";"maleducato";"-1.5105081240943";"0.710379017146115";"1.01244789734413";"330"
"102";"pausa";"-0.878457221186457";"0.353647631013137";"1.0106234860223";"334"
"103";"disponibile";"0.304697564399425";"0.607380020941095";"1.00995133448268";"335"
"104";"verdura";"-0.643802026629524";"0.289572181683798";"0.99838072583637";"337"
"105";"personale";"-0.0479659878318003";"0.258652792316929";"0.997228466054165";"338"
"106";"ordinazione";"1.08847136141898";"0.621512699258296";"0.99305152434367";"343"
"107";"cinema";"0.223148260179205";"1.70609555034766";"0.99305152434367";"344"
"108";"tiepido";"1.82839389676853";"1.65424088737144";"0.99305152434367";"347"
"109";"tardo";"1.08847136141898";"0.621512699258296";"0.99305152434367";"348"
"110";"realtà";"0.326524930244655";"0.743088856311433";"0.99305152434367";"349"
"111";"metro";"1.08847136141898";"0.621512699258296";"0.99305152434367";"350"
"112";"velocità";"0.985094691353528";"1.58451939329452";"0.99305152434367";"352"
"113";"seguito";"0.985094691353528";"1.58451939329452";"0.99305152434367";"353"
"114";"formaggio";"0.406641022597616";"0.102315617246771";"0.988874582633176";"354"
"115";"splendido";"0.527905854236405";"-0.192680587985267";"0.988874582633176";"355"
"116";"scoperta";"-0.20730151582439";"-0.836347082448979";"0.988874582633176";"356"
"117";"settimana";"-0.266988437972252";"-0.454755995663126";"0.988874582633176";"357"
"118";"posto";"0.248573319818724";"-0.00925224062474778";"0.988346463566331";"359"
"119";"bicchiere";"0.863117160771867";"1.10826172112019";"0.98772232285097";"360"
"120";"sorridente";"0.0994252205129171";"1.07611278730771";"0.98772232285097";"362"
"121";"forno";"-0.872806459979148";"-0.559654445942042";"0.987626301202453";"365"
"122";"quartiere";"-0.490466557257971";"-0.945965544946291";"0.984313554328612";"366"
"123";"polpetta";"0.432562641713303";"-1.48934965968646";"0.984313554328612";"367"
"124";"carta";"0.888531394528621";"0.302659271324314";"0.984313554328612";"368"
"125";"vecchio";"-0.266475035258228";"-1.3105028312947";"0.984313554328612";"369"
"126";"buonissimo";"-0.966795696601248";"-0.0785307462861572";"0.980040590969601";"370"
"127";"fresco";"-0.665742478227564";"0.530287045779511";"0.979272417781464";"373"
"128";"salume";"0.862273637705555";"-0.168314077956547";"0.974999454422452";"375"
"129";"teatro";"0.408703784858779";"-0.509124297250762";"0.974999454422452";"376"
"130";"informale";"0.944974973757914";"-0.938719433185528";"0.974999454422452";"377"
"131";"pesante";"-0.211891215887346";"-0.685670649998059";"0.974999454422452";"379"
"132";"storia";"0.275787836161778";"-1.21260964082724";"0.974999454422452";"381"
"133";"spartano";"0.914001953567722";"-1.95950676421297";"0.974999454422452";"382"
"134";"testa";"0.361281986749539";"-1.73705485067123";"0.974999454422452";"383"
"135";"dettaglio";"-0.882207387600774";"0.0195768845028883";"0.974999454422452";"385"
"136";"occasione";"-0.938329857672767";"1.12156197795303";"0.973031010627851";"386"
"137";"veloce";"0.0629394980783637";"-0.415270600069866";"0.971494664251577";"387"
"138";"migliore";"-0.371672635374213";"-0.562341942530693";"0.969910307051044";"388"
"139";"pomodoro";"-0.0981581366606992";"-0.79571236729144";"0.969910307051044";"389"
"140";"impasto";"-1.37817967564281";"-0.381903964131348";"0.966501538528687";"390"
"141";"familiare";"-1.03145561786089";"-0.805877224289357";"0.966501538528687";"391"
"142";"condimento";"-1.0123785399639";"-0.148584694379973";"0.966501538528687";"392"
"143";"proposta";"0.0985203530657055";"-0.0175762439310807";"0.962660672588002";"394"
"144";"sgabello";"-1.66476871281118";"-0.470549294809092";"0.960308142199332";"395"
"145";"oliva";"0.19620120995651";"-0.948313070338194";"0.960308142199332";"396"
"146";"parmigiano";"-0.669121891283262";"0.136269780751171";"0.960308142199332";"397"
"147";"meraviglioso";"0.0438535938435916";"-1.48541065182153";"0.960308142199332";"399"
"148";"estremamente";"0.163871012542656";"0.171182358572073";"0.960308142199332";"400"
"149";"enorme";"0.19620120995651";"-0.948313070338194";"0.960308142199332";"401"
"150";"delizioso";"-0.331242140126457";"0.107387900888661";"0.959876044781005";"402"
"151";"sera";"0.235526717881704";"-0.201498321773971";"0.9587237849988";"403"
"152";"varietà";"-1.16814210029583";"0.477919763651436";"0.954690875761081";"404"
"153";"passato";"-0.654226725892623";"-0.434139096417585";"0.949073609322829";"405"
"154";"positivo";"0.0190162311716743";"-0.501341973848543";"0.949073609322829";"406"
"155";"costo";"0.784388985965439";"0.0305742988401388";"0.949073609322829";"407"
"156";"torno";"-0.173206047876387";"0.4057938199949";"0.946336992340091";"410"
"157";"centrifugo";"-1.79366029687066";"1.33931156266218";"0.946336992340091";"413"
"158";"viaggio";"-0.130569548873453";"-0.678892692659348";"0.946336992340091";"414"
"159";"giornata";"-1.7613300994568";"0.219816133751915";"0.946336992340091";"415"
"160";"vegetariano";"-0.226251070936806";"-0.35426418793598";"0.943360321236061";"419"
"161";"problema";"-0.253110046158095";"0.786863239031795";"0.939759509416669";"425"
"162";"tavolo";"0.526852417084318";"0.254779704595405";"0.939135368701307";"426"
"163";"bello";"0.402132470012451";"0.033582946764444";"0.939135368701307";"427"
"164";"manzo";"1.65054605365662";"0.289294049486848";"0.938319184688912";"429"
"165";"presenza";"0.354182654461209";"1.03610824362067";"0.938319184688912";"430"
"166";"foto";"-2.30477207230509";"-0.424311716312443";"0.938319184688912";"432"
"167";"insapore|insaporo";"-1.02057556303364";"-0.465795446693416";"0.938319184688912";"433"
"168";"simpatico";"-0.345659497781749";"0.328532866507647";"0.93505444863933";"435"
"169";"famiglia";"-0.964822934149949";"0.28133298698631";"0.932893961547694";"436"
"170";"pranzo";"-0.343052426048917";"-0.542635174525376";"0.931405625995679";"437"
"171";"tradizionale";"0.0332199299042872";"-2.00161912824138";"0.931021539401611";"438"
"172";"prossimo";"-1.15838450954277";"-0.286055931638561";"0.930445409510508";"439"
"173";"proprietario";"-1.02084128779306";"-0.202404364111247";"0.929677236322371";"440"
"174";"prezzo";"-0.295239891117997";"0.0813362767010518";"0.927612770879253";"441"
"175";"mesa|mese";"0.579174014599126";"0.0178976228303274";"0.923195775047465";"444"
"176";"birra";"-0.0410932590222815";"0.634205103890001";"0.92137136372564";"446"
"177";"hamburger";"0.501335232280176";"0.437174727398319";"0.92069921218602";"447"
"178";"inizio";"-0.505506298059152";"0.235754582835543";"0.92069921218602";"448"
"179";"alice";"0.598677344992432";"-0.927954077061997";"0.92069921218602";"450"
"180";"arredo";"1.72042838251607";"0.86499582965243";"0.92069921218602";"451"
"181";"rosso";"-0.73035054068609";"-0.39107876274491";"0.917482486960697";"452"
"182";"consegna";"-1.64447990428";"0.584013750058616";"0.915418021517579";"453"
"183";"semplice";"-0.0241025798448277";"-1.18107819381527";"0.914649848329442";"455"
"184";"possibilità";"-0.146637353231921";"-0.649029255146743";"0.914649848329442";"456"
"185";"alto";"-0.00779549436734545";"-0.764035743029819";"0.909896776727844";"457"
"186";"genuino";"-1.39333415050221";"0.606101744681798";"0.909176614363966";"458"
"187";"passaggio";"-1.26714120242613";"-0.0932694450887362";"0.909176614363966";"459"
"188";"casa";"-0.382308624077779";"-0.315349582392233";"0.90269515308906";"460"
"189";"ottimo";"-0.334768320981276";"-0.0405637831037718";"0.900630687645942";"461"
"190";"gastronomia";"-1.64382997598022";"-0.178268641675545";"0.897894070663204";"462"
"191";"bufalo";"-0.313357377582458";"-1.79283204593277";"0.897894070663204";"464"
"192";"perfetto";"-0.219491687645718";"-0.746114445576454";"0.894149226371036";"466"
"193";"titolare";"-0.497183877630763";"-0.0615203041419893";"0.894149226371036";"467"
"194";"grazia";"-0.87983694208361";"-0.547038036280623";"0.892948955764572";"468"
"195";"complimento";"-0.152871038443503";"-0.303743965817839";"0.892948955764572";"469"
"196";"economico";"-1.17154260688437";"-0.077911045712892";"0.892084760927918";"470"
"197";"spettacolare";"-1.67723513319398";"-0.0877406961692072";"0.891124544442747";"471"
"198";"gestione";"-1.0134705855087";"0.316805354204302";"0.891124544442747";"472"
"199";"scorso";"-2.18519942064353";"-0.00668992480044863";"0.891124544442747";"473"
"200";"profumo";"-1.10872912582186";"0.522722920915742";"0.887235667677804";"475"
"201";"perfettamente";"-1.7006671541015";"-0.303459629574777";"0.887235667677804";"476"
"202";"pezzo";"-0.0206140510412369";"-0.0458650518072681";"0.871536128145255";"477"
"203";"salato";"-0.670580785232485";"0.745463966329909";"0.869279619405102";"478"
"204";"gentilezza";"0.485196304780027";"0.510712959748209";"0.865150688518866";"479"
"205";"materia";"-0.285086815601943";"0.14561800055375";"0.865150688518866";"480"
"206";"siciliano";"-0.557093577856572";"-1.59176509919636";"0.855932610261223";"481"
"207";"scontrino";"-0.397070352924487";"0.61702558132845";"0.855932610261223";"482"
